Outcome,Group 1,Group 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,128,256,2.8517688292732233,0.022035764396947648,0.037495358920178475,True
rouge1,128,512,6.401473383315095,0.00021202549736869074,0.0012721529842121444,True
rouge1,128,1024,9.856473838696438,2.880667719916102e-05,0.0003456801263899323,True
rouge1,256,512,2.8918921829389754,0.02122307552146401,0.037495358920178475,True
rouge1,256,1024,5.406126303157998,0.0015381004544712542,0.004406917790458135,True
rouge1,512,1024,2.543965852453603,0.03832028916069747,0.051133858421909754,False
rouge2,128,256,2.7467432858324132,0.0287415661017067,0.043112349152560056,True
rouge2,128,512,5.942769850660134,0.00046742609763141105,0.0020396775169370667,True
rouge2,128,1024,9.86969319857649,9.436032297803233e-06,0.00022646477514727762,True
rouge2,256,512,2.487943593191314,0.03797415566742757,0.051133858421909754,False
rouge2,256,1024,4.925134294508458,0.0018210638575712446,0.004856170286856652,True
rouge2,512,1024,2.2802276237881203,0.05527294119707803,0.06470978481609135,False
rougeL,128,256,3.0580371884215785,0.017430313928336386,0.03217904109846718,True
rougeL,128,512,6.692690675148216,0.00016982799044363282,0.0012721529842121444,True
rougeL,128,1024,10.712288418253168,6.735245332211543e-06,0.00022646477514727762,True
rougeL,256,512,2.811188504024045,0.023434599325111546,0.037495358920178475,True
rougeL,256,1024,5.4077860132562465,0.0012583856459832193,0.0040268340671463015,True
rougeL,512,1024,2.5302388772313162,0.038350393816432314,0.051133858421909754,False
rougeLsum,128,256,2.7157506226342,0.027446004836023576,0.04249703974610102,True
rougeLsum,128,512,6.22164510413042,0.00025339355653307817,0.0013514323015097502,True
rougeLsum,128,1024,9.776854291116003,2.382015006297608e-05,0.0003456801263899323,True
rougeLsum,256,512,2.827948339536156,0.023184380150044558,0.037495358920178475,True
rougeLsum,256,1024,5.342341543474352,0.0015607833841205896,0.004406917790458135,True
rougeLsum,512,1024,2.5107400176803427,0.04010982168532878,0.052034363267453546,False
bert_score_P,128,256,-1.5852455455890389,0.15542110794008246,0.1621785474157382,False
bert_score_P,128,512,0.05408714874323111,0.9581967947276562,0.9581967947276562,False
bert_score_P,128,1024,4.209014021450851,0.004822949633278031,0.01102388487606407,True
bert_score_P,256,512,1.7113225281184987,0.1280260272834066,0.13966475703644357,False
bert_score_P,256,1024,5.541761573564973,0.0021121061714330343,0.005069054811439282,True
bert_score_P,512,1024,4.23323213941874,0.005086872411020206,0.011098630714953176,True
bert_score_R,128,256,2.4029093126466994,0.0436065476377779,0.05366959709264973,False
bert_score_R,128,512,5.0700982919591056,0.0009650979603472463,0.003563438622820602,True
bert_score_R,128,1024,5.9981039693545055,0.000324658821414136,0.0015583623427878528,True
bert_score_R,256,512,2.27376744081654,0.05332875682767319,0.06399450819320783,False
bert_score_R,256,1024,3.174005936888563,0.013376481111888026,0.02675296222377605,True
bert_score_R,512,1024,1.0074378262228714,0.34324548649727366,0.3505485819546625,False
bert_score_F1,128,256,2.0395501297261798,0.08285772417915302,0.0924923432697522,False
bert_score_F1,128,512,4.83412691004917,0.001966725587061132,0.004968569904154439,True
bert_score_F1,128,1024,6.3414874774147245,0.0005289077137004264,0.0021156308548017054,True
bert_score_F1,256,512,2.2137221152588604,0.0578694554605539,0.06613652052634732,False
bert_score_F1,256,1024,3.660548073530005,0.006416478188999062,0.013390911003128477,True
bert_score_F1,512,1024,1.6038916609790337,0.1478158058543893,0.1576701929113486,False
sts_score,128,256,2.4793258057586374,0.043090945590533704,0.05366959709264973,False
sts_score,128,512,6.4999543794998464,0.00019173999668751907,0.0012721529842121444,True
sts_score,128,1024,8.044701295949455,0.00013462210408724171,0.0012721529842121444,True
sts_score,256,512,2.6142057037253417,0.034308703109333254,0.04990356815903019,True
sts_score,256,1024,4.905944856439725,0.0012142620694637059,0.0040268340671463015,True
sts_score,512,1024,3.1744376853886984,0.016474699661978308,0.03163142335099835,True
