chunk_size,questions_num,qa_count_mismatch,total_questions,max_tokens,total_chunks,success_count,fail_count,repeat_count,duplicate_count,elapsed_time
128,2,3,1625,128,1800,811,989,0,16,2:10:46.812949
128,2,11,2268,256,1800,1127,673,2,20,3:04:52.958970
128,2,15,2492,512,1800,1233,567,4,20,4:04:19.033865
128,2,16,2504,1024,1800,1237,563,4,20,5:46:36.042703
128,2,16,2504,2048,1800,1237,563,4,20,9:12:51.652108
256,2,0,1138,128,1800,569,1231,0,10,2:09:33.415207
256,2,5,1738,256,1800,864,936,3,10,3:05:18.868429
256,2,10,2064,512,1800,1021,779,3,10,4:06:23.294150
256,2,12,2112,1024,1800,1042,758,5,10,5:34:28.535107
256,2,12,2114,2048,1800,1043,757,7,10,8:30:50.380008
512,2,1,911,128,1622,455,1167,2,2,1:49:07.540419
512,2,2,1324,256,1622,661,961,6,2,2:39:16.369489
512,2,8,1573,512,1622,781,841,6,2,3:40:26.464144
512,2,10,1618,1024,1622,801,821,6,2,5:04:37.761898
512,2,10,1618,2048,1622,801,821,6,2,7:41:38.356047
1024,2,1,285,128,910,142,768,2,0,0:56:36.952469
1024,2,4,517,256,910,256,654,4,0,1:27:35.348345
1024,2,15,655,512,910,315,595,10,2,2:09:07.184735
1024,2,22,708,1024,910,333,577,14,2,3:15:38.535174
1024,2,23,726,2048,910,339,571,16,2,5:18:39.563164
